,SensorData.Acceleration.X,SensorData.Acceleration.Y,SensorData.Acceleration.Z,SensorData.Time,SensorData.Rotation.X,SensorData.Rotation.Y,SensorData.Rotation.Z,SensorData.Temperature
66,-0.09,-0.02,9.35,2023-12-10 20:59:10,-0.00,0.01,-0.02,29.93
67,-0.07,-0.04,9.37,2023-12-10 20:59:13,-0.00,0.01,-0.02,29.91
68,-0.07,-0.03,9.37,2023-12-10 20:59:15,-0.00,0.01,-0.02,29.91
69,-0.05,0.01,9.38,2023-12-10 20:59:18,-0.00,0.01,-0.02,29.91
70,-0.08,-0.03,9.33,2023-12-10 20:59:20,-0.00,0.01,-0.02,29.92
71,-0.08,-0.02,9.36,2023-12-10 20:59:23,-0.00,0.01,-0.02,29.92
72,-0.07,-0.04,9.35,2023-12-10 20:59:25,-0.00,0.01,-0.02,29.89
73,-0.07,-0.02,9.35,2023-12-10 20:59:28,-0.00,0.01,-0.02,29.90
74,-0.08,-0.02,9.37,2023-12-10 20:59:30,-0.00,0.01,-0.02,29.92
75,-0.04,-0.01,9.39,2023-12-10 20:59:33,-0.00,0.01,-0.02,29.91
76,-0.06,-0.03,9.37,2023-12-10 20:59:35,-0.00,0.01,-0.02,29.92
77,-0.06,-0.05,9.38,2023-12-10 20:59:40,-0.00,0.01,-0.02,29.92
78,-0.06,0.00,9.36,2023-12-10 20:59:41,-0.00,0.01,-0.03,29.89
79,-0.06,-0.05,9.36,2023-12-10 20:59:43,-0.00,0.01,-0.02,29.89
80,-0.07,-0.05,9.36,2023-12-10 20:59:46,-0.00,0.01,-0.02,29.92
81,-0.07,-0.01,9.37,2023-12-10 20:59:49,-0.00,0.01,-0.02,29.90
82,-0.08,-0.02,9.34,2023-12-10 20:59:51,-0.00,0.01,-0.02,29.90
83,-0.08,-0.01,9.39,2023-12-10 20:59:54,-0.00,0.01,-0.02,29.93
84,-0.06,-0.03,9.36,2023-12-10 20:59:56,-0.00,0.01,-0.02,29.91
85,-0.07,0.02,9.38,2023-12-10 20:59:59,-0.00,0.01,-0.02,29.91
86,-0.06,-0.03,9.36,2023-12-10 21:00:01,-0.00,0.01,-0.02,29.94
87,-0.05,-0.02,9.35,2023-12-10 21:00:04,-0.00,0.01,-0.02,29.94
88,-0.08,0.00,9.38,2023-12-10 21:00:06,-0.00,0.01,-0.02,29.92
89,-0.07,-0.03,9.36,2023-12-10 21:00:09,-0.00,0.01,-0.02,29.94
90,-0.07,-0.03,9.38,2023-12-10 21:00:11,-0.00,0.01,-0.02,29.96
91,-0.07,-0.01,9.36,2023-12-10 21:00:13,-0.00,0.01,-0.02,29.96
92,-0.07,-0.02,9.36,2023-12-10 21:00:16,-0.00,0.01,-0.02,29.96
93,-0.06,-0.02,9.37,2023-12-10 21:00:18,-0.00,0.01,-0.02,29.96
94,-0.07,-0.01,9.35,2023-12-10 21:00:21,-0.00,0.01,-0.02,29.96
95,-0.08,-0.05,9.37,2023-12-10 21:00:23,-0.00,0.01,-0.02,29.97
96,-0.07,-0.01,9.36,2023-12-10 21:00:26,-0.00,0.01,-0.02,29.97
97,-0.06,0.00,9.39,2023-12-10 21:00:28,-0.00,0.01,-0.02,29.96
98,-0.08,-0.01,9.39,2023-12-10 21:00:31,-0.00,0.01,-0.02,29.96
99,-0.06,-0.03,9.37,2023-12-10 21:00:33,-0.00,0.01,-0.02,29.95
100,-0.09,-0.02,9.39,2023-12-10 21:00:36,-0.00,0.01,-0.02,29.95
101,-0.07,-0.02,9.35,2023-12-10 21:00:40,-0.00,0.01,-0.02,29.95
102,-0.07,-0.02,9.35,2023-12-10 21:00:44,-0.00,0.01,-0.02,29.95
103,-0.05,-0.02,9.37,2023-12-10 21:00:46,-0.00,0.01,-0.03,29.96
104,-0.06,-0.03,9.39,2023-12-10 21:00:47,-0.00,0.01,-0.02,29.96
105,-0.10,-0.02,9.35,2023-12-10 21:00:49,-0.00,0.01,-0.02,29.97
106,-0.08,-0.01,9.38,2023-12-10 21:00:51,-0.00,0.01,-0.02,29.95
