,SensorData.Acceleration.X,SensorData.Acceleration.Y,SensorData.Acceleration.Z,SensorData.Time,SensorData.Rotation.X,SensorData.Rotation.Y,SensorData.Rotation.Z,SensorData.Temperature
69,0.28,-5.50,8.08,2023-12-10 21:53:54,0.02,-0.02,0.04,30.85
70,1.50,5.71,7.40,2023-12-10 21:53:57,0.54,0.14,-0.27,30.84
71,0.80,6.56,6.10,2023-12-10 21:53:59,-0.15,0.21,-0.18,30.84
72,2.75,-7.28,6.03,2023-12-10 21:54:02,0.17,0.36,0.30,30.81
73,1.42,-0.11,8.79,2023-12-10 21:54:05,-0.07,0.06,0.07,30.81
74,1.92,-8.19,4.76,2023-12-10 21:54:07,-0.90,-0.03,-0.12,30.82
75,1.36,6.49,6.53,2023-12-10 21:54:10,0.11,-0.00,-0.01,30.83
76,2.34,-8.17,4.12,2023-12-10 21:54:13,-0.48,-0.00,0.23,30.81
77,1.91,7.49,5.49,2023-12-10 21:54:15,1.43,0.15,-0.30,30.78
78,2.08,-8.77,3.78,2023-12-10 21:54:18,-0.01,0.01,-0.01,30.82
79,0.94,4.86,8.97,2023-12-10 21:54:20,0.06,0.01,0.00,30.83
80,2.85,-1.48,7.89,2023-12-10 21:54:22,-2.29,0.11,0.11,30.83
81,1.60,3.12,9.38,2023-12-10 21:54:25,3.90,-0.32,-0.42,30.80
82,2.54,-7.70,5.47,2023-12-10 21:54:28,-1.01,0.11,0.09,30.83
83,0.86,8.29,4.46,2023-12-10 21:54:30,0.23,0.11,-0.07,30.83
84,1.21,-8.28,4.78,2023-12-10 21:54:33,-0.15,0.11,0.00,30.84
85,0.68,1.03,7.79,2023-12-10 21:54:37,-0.07,0.00,-0.01,30.83
86,2.99,1.98,8.35,2023-12-10 21:54:41,-3.65,-0.12,0.20,30.84
87,1.36,9.23,2.22,2023-12-10 21:54:43,3.19,0.20,-0.28,30.87
88,1.36,-9.60,1.70,2023-12-10 21:54:46,-0.05,0.04,0.01,30.82
89,1.27,9.06,2.63,2023-12-10 21:54:48,-0.00,0.03,-0.04,30.83
90,0.82,-9.28,2.96,2023-12-10 21:54:51,-0.25,0.02,0.05,30.83
91,1.56,8.93,3.29,2023-12-10 21:54:53,-0.00,0.01,-0.04,30.81
92,1.01,-8.65,4.18,2023-12-10 21:54:56,0.10,0.00,-0.06,30.79
93,1.08,7.70,5.52,2023-12-10 21:54:59,-0.16,0.61,-0.21,30.80
94,1.28,-8.97,3.65,2023-12-10 21:55:01,-1.79,-1.93,-0.22,30.81
95,0.28,8.91,2.96,2023-12-10 21:55:03,-0.10,-0.05,-0.16,30.80
96,1.39,-8.92,3.43,2023-12-10 21:55:06,-0.30,-0.02,0.00,30.83
97,0.07,7.50,4.38,2023-12-10 21:55:09,-0.06,-0.14,0.33,30.79
98,2.60,-9.24,2.39,2023-12-10 21:55:11,-2.28,-0.14,-0.04,30.82
99,1.29,7.63,5.39,2023-12-10 21:55:14,0.07,-0.06,-0.11,30.82
100,2.45,-8.47,4.28,2023-12-10 21:55:16,-0.01,0.02,-0.04,30.80
101,1.42,8.37,4.26,2023-12-10 21:55:19,0.07,0.02,-0.09,30.79
102,2.82,-4.24,-9.47,2023-12-10 21:55:25,-0.03,0.01,-0.02,30.80
103,-5.83,0.10,6.24,2023-12-10 21:55:27,-0.47,-0.49,0.14,30.76
104,1.95,-9.73,0.63,2023-12-10 21:55:30,0.76,-3.71,-0.23,30.76
105,0.19,4.16,9.19,2023-12-10 21:55:33,0.04,0.01,-0.05,30.76
106,6.59,-2.29,-6.92,2023-12-10 21:55:39,-2.79,0.01,0.10,30.76
107,0.99,7.59,5.55,2023-12-10 21:55:43,-0.64,-0.83,0.52,30.75
108,1.40,-8.14,4.98,2023-12-10 21:55:46,-0.09,0.27,-0.05,30.74
109,0.50,7.97,4.98,2023-12-10 21:55:53,-0.03,-0.01,0.00,30.75
110,1.83,8.02,4.81,2023-12-10 21:55:58,0.25,0.06,-0.13,30.74
111,1.25,-8.60,4.17,2023-12-10 21:56:01,-0.05,0.00,0.08,30.76
112,2.15,6.88,6.04,2023-12-10 21:56:03,0.15,0.08,-0.10,30.76
113,2.61,-6.81,6.54,2023-12-10 21:56:06,0.53,0.09,-0.23,30.77
114,1.50,7.61,5.46,2023-12-10 21:56:09,0.10,0.03,-0.01,30.79
115,2.01,-8.36,2.89,2023-12-10 21:56:11,-0.02,0.05,0.04,30.76
116,1.25,-9.01,3.41,2023-12-10 21:56:15,2.27,0.00,-0.20,30.73
117,1.89,7.25,5.78,2023-12-10 21:56:17,-0.22,-0.02,0.03,30.74
118,0.98,-8.81,3.86,2023-12-10 21:56:19,0.10,0.00,-0.03,30.75
119,2.41,6.05,6.95,2023-12-10 21:56:22,-0.05,-0.07,-0.01,30.74
120,1.55,-6.97,6.46,2023-12-10 21:56:24,0.01,0.02,-0.01,30.72
121,2.12,6.38,6.65,2023-12-10 21:56:27,0.03,0.01,-0.12,30.71
122,0.85,0.79,9.79,2023-12-10 21:56:29,0.08,-0.03,-0.01,30.72
123,1.42,-8.19,4.94,2023-12-10 21:56:32,-2.53,0.36,0.33,30.72
124,1.66,6.10,7.09,2023-12-10 21:56:34,0.06,-0.03,-0.06,30.71
125,1.73,-8.65,3.94,2023-12-10 21:56:36,-0.06,0.02,-0.10,30.70
126,1.97,7.22,5.82,2023-12-10 21:56:39,-0.15,0.07,-0.01,30.68
127,1.14,-8.43,4.75,2023-12-10 21:56:42,0.07,0.04,-0.05,30.69
128,0.19,9.80,-1.03,2023-12-10 21:56:44,0.14,0.11,-0.04,30.69
129,0.48,9.38,-2.18,2023-12-10 21:56:47,0.18,0.07,-0.08,30.69
130,0.63,-9.94,-0.43,2023-12-10 21:56:49,-0.11,0.03,-0.01,30.66
131,-0.49,-9.76,-0.88,2023-12-10 21:56:52,-0.02,-0.01,0.00,30.67
132,2.67,9.01,-7.25,2023-12-10 21:56:54,1.87,-0.19,-0.26,30.69
133,0.51,-9.75,0.81,2023-12-10 21:56:57,4.11,1.51,-1.84,30.67
134,1.47,9.30,1.68,2023-12-10 21:56:59,-0.31,-0.06,0.15,30.64
135,0.85,-9.69,-1.50,2023-12-10 21:57:02,0.20,-0.04,-0.10,30.64
136,0.84,9.65,-1.24,2023-12-10 21:57:04,0.05,0.04,-0.03,30.65
137,0.76,9.54,-2.38,2023-12-10 21:57:07,-0.10,0.01,-0.00,30.66
138,0.07,-9.85,-1.94,2023-12-10 21:57:09,-0.04,0.04,-0.04,30.65
139,1.75,5.83,7.21,2023-12-10 21:57:12,0.05,0.02,-0.03,30.67
140,1.75,-5.96,7.26,2023-12-10 21:57:14,-0.02,0.01,0.01,30.66
141,1.80,7.03,5.95,2023-12-10 21:57:17,0.07,0.01,-0.05,30.66
142,1.86,-7.14,6.23,2023-12-10 21:57:19,-0.10,0.01,0.01,30.67
143,1.39,5.31,7.50,2023-12-10 21:57:22,0.20,0.04,-0.05,30.66
144,2.01,-6.72,4.84,2023-12-10 21:57:24,-0.06,0.21,0.08,30.67
145,1.45,5.42,8.16,2023-12-10 21:57:27,-0.55,0.00,-0.10,30.68
146,1.96,-7.40,6.09,2023-12-10 21:57:29,1.21,0.29,0.03,30.67
147,1.26,6.56,6.72,2023-12-10 21:57:32,-0.07,-0.13,0.10,30.65
148,2.00,-6.04,7.26,2023-12-10 21:57:34,-0.08,0.05,0.09,30.64
149,0.23,9.34,1.75,2023-12-10 21:57:37,-0.08,-0.03,0.06,30.63
150,1.51,-9.51,1.22,2023-12-10 21:57:39,-0.16,0.05,0.01,30.62
151,-0.00,9.64,-0.05,2023-12-10 21:57:42,-1.00,-0.14,0.20,30.62
152,0.05,-9.80,-1.10,2023-12-10 21:57:44,0.15,0.01,-0.04,30.61
153,-0.26,9.55,-0.83,2023-12-10 21:57:47,0.01,0.01,-0.01,30.62
154,0.06,-8.41,0.79,2023-12-10 21:57:50,-0.07,0.06,-0.01,30.63
155,-0.28,9.59,0.19,2023-12-10 21:57:51,-2.96,0.64,0.21,30.62
156,0.40,-9.71,-2.84,2023-12-10 21:57:54,0.10,-0.48,-0.22,30.64
157,2.36,4.38,8.33,2023-12-10 21:57:57,-0.08,0.01,0.01,30.59
158,0.39,9.20,3.57,2023-12-10 21:57:59,0.10,-0.04,0.00,30.65
159,1.07,-8.66,4.34,2023-12-10 21:58:01,-0.84,-0.07,0.08,30.66
160,1.14,-7.81,5.22,2023-12-10 21:58:04,0.08,0.04,-0.06,30.65
161,1.82,3.59,8.42,2023-12-10 21:58:07,-0.49,0.01,-0.17,30.63
